,County,Month,Year,Deaths,AgeGroup,City,Temp
0,Hennepin,1,2007,11,1,Minneapolis,19.6
1,Hennepin,1,2007,10,15-24,Minneapolis,19.6
2,Hennepin,1,2007,16,35-44,Minneapolis,19.6
3,Hennepin,1,2007,52,45-54,Minneapolis,19.6
4,Hennepin,1,2007,83,55-64,Minneapolis,19.6
5,Hennepin,1,2007,89,65-74,Minneapolis,19.6
6,Hennepin,1,2007,188,75-84,Minneapolis,19.6
7,Hennepin,1,2007,263,85+,Minneapolis,19.6
8,Hennepin,5,2007,11,1,Minneapolis,64.1
9,Hennepin,5,2007,11,15-24,Minneapolis,64.1
10,Hennepin,5,2007,13,25-34,Minneapolis,64.1
11,Hennepin,5,2007,17,35-44,Minneapolis,64.1
12,Hennepin,5,2007,34,45-54,Minneapolis,64.1
13,Hennepin,5,2007,61,55-64,Minneapolis,64.1
14,Hennepin,5,2007,79,65-74,Minneapolis,64.1
15,Hennepin,5,2007,168,75-84,Minneapolis,64.1
16,Hennepin,5,2007,195,85+,Minneapolis,64.1
17,Hennepin,6,2007,11,1,Minneapolis,72.7
18,Hennepin,6,2007,17,35-44,Minneapolis,72.7
19,Hennepin,6,2007,38,45-54,Minneapolis,72.7
20,Hennepin,6,2007,50,55-64,Minneapolis,72.7
21,Hennepin,6,2007,68,65-74,Minneapolis,72.7
22,Hennepin,6,2007,141,75-84,Minneapolis,72.7
23,Hennepin,6,2007,197,85+,Minneapolis,72.7
24,Hennepin,7,2007,11,1,Minneapolis,76.0
25,Hennepin,7,2007,20,35-44,Minneapolis,76.0
26,Hennepin,7,2007,36,45-54,Minneapolis,76.0
27,Hennepin,7,2007,70,55-64,Minneapolis,76.0
28,Hennepin,7,2007,69,65-74,Minneapolis,76.0
29,Hennepin,7,2007,128,75-84,Minneapolis,76.0
30,Hennepin,7,2007,248,85+,Minneapolis,76.0
31,Hennepin,10,2007,13,1,Minneapolis,54.3
32,Hennepin,10,2007,11,15-24,Minneapolis,54.3
33,Hennepin,10,2007,18,35-44,Minneapolis,54.3
34,Hennepin,10,2007,56,45-54,Minneapolis,54.3
35,Hennepin,10,2007,73,55-64,Minneapolis,54.3
36,Hennepin,10,2007,91,65-74,Minneapolis,54.3
37,Hennepin,10,2007,182,75-84,Minneapolis,54.3
38,Hennepin,10,2007,246,85+,Minneapolis,54.3
39,Hennepin,11,2007,12,1,Minneapolis,34.5
40,Hennepin,11,2007,12,35-44,Minneapolis,34.5
41,Hennepin,11,2007,42,45-54,Minneapolis,34.5
42,Hennepin,11,2007,69,55-64,Minneapolis,34.5
43,Hennepin,11,2007,78,65-74,Minneapolis,34.5
44,Hennepin,11,2007,159,75-84,Minneapolis,34.5
45,Hennepin,11,2007,264,85+,Minneapolis,34.5
46,Ramsey,1,2007,11,1,St Paul,19.6
